,sub_area
Poselenie Sosenskoe,1776
Nekrasovka,1611
Poselenie Vnukovskoe,1372
Poselenie Moskovskij,925
Poselenie Voskresenskoe,713
Mitino,679
Tverskoe,678
Krjukovo,518
Mar'ino,508
Poselenie Filimonkovskoe,496
Juzhnoe Butovo,451
Poselenie Shherbinka,443
Solncevo,421
Zapadnoe Degunino,410
Poselenie Desjonovskoe,362
Otradnoe,353
Nagatinskij Zaton,327
Bogorodskoe,305
Nagornoe,305
Strogino,301
Izmajlovo,300
Tekstil'shhiki,298
Ljublino,297
Gol'janovo,295
Severnoe Tushino,282
Chertanovo Juzhnoe,273
Birjulevo Vostochnoe,268
Vyhino-Zhulebino,264
Horoshevo-Mnevniki,262
Zjuzino,259
Ochakovo-Matveevskoe,255
Perovo,247
Ramenki,241
Kosino-Uhtomskoe,237
Jasenevo,237
Bibirevo,230
Golovinskoe,224
Kon'kovo,220
Caricyno,220
Kuz'minki,220
Veshnjaki,213
Akademicheskoe,211
Orehovo-Borisovo Juzhnoe,208
Koptevo,207
Orehovo-Borisovo Severnoe,206
Novogireevo,201
Chertanovo Severnoe,200
Danilovskoe,199
Mozhajskoe,197
Ivanovskoe,197
Chertanovo Central'noe,196
Pechatniki,192
Presnenskoe,190
Sokolinaja Gora,188
Obruchevskoe,185
Kuncevo,184
Severnoe Butovo,182
Brateevo,182
Rjazanskij,180
Hovrino,178
Losinoostrovskoe,177
Juzhnoe Tushino,175
Dmitrovskoe,174
Taganskoe,173
Severnoe Medvedkovo,167
Beskudnikovskoe,166
Teplyj Stan,165
Pokrovskoe Streshnevo,164
Severnoe Izmajlovo,163
Troickij okrug,158
Cheremushki,158
Nagatino-Sadovniki,158
Shhukino,155
Timirjazevskoe,154
Vostochnoe Izmajlovo,154
Preobrazhenskoe,152
Novo-Peredelkino,149
Filevskij Park,148
Poselenie Novofedorovskoe,148
Lomonosovskoe,147
Kotlovka,147
Juzhnoe Medvedkovo,143
Poselenie Pervomajskoe,142
Novokosino,139
Fili Davydkovo,137
Horoshevskoe,136
Levoberezhnoe,135
Donskoe,135
Sviblovo,131
Vojkovskoe,131
Zjablikovo,127
Troparevo-Nikulino,126
Juzhnoportovoe,126
Lianozovo,126
Ajeroport,123
Babushkinskoe,123
Jaroslavskoe,121
Lefortovo,119
Vostochnoe Degunino,118
Mar'ina Roshha,116
Birjulevo Zapadnoe,115
Matushkino,111
Savelki,105
Krylatskoe,103
Butyrskoe,101
Alekseevskoe,100
Prospekt Vernadskogo,100
Silino,100
Moskvorech'e-Saburovo,99
Basmannoe,98
Meshhanskoe,94
Staroe Krjukovo,92
Hamovniki,90
Savelovskoe,85
Marfino,85
Jakimanka,81
Gagarinskoe,79
Ostankinskoe,79
Nizhegorodskoe,77
Sokol,72
Altuf'evskoe,68
Rostokino,64
Kurkino,62
Begovoe,60
Sokol'niki,60
Metrogorodok,58
Dorogomilovo,56
Zamoskvorech'e,50
Kapotnja,49
Vnukovo,44
Severnoe,37
Krasnosel'skoe,37
Poselenie Rjazanovskoe,34
Poselenie Rogovskoe,31
Poselenie Krasnopahorskoe,27
Poselenie Kokoshkino,20
Poselenie Mosrentgen,19
Arbat,15
Poselenie Voronovskoe,7
Vostochnoe,7
Poselenie Marushkinskoe,6
Molzhaninovskoe,3
Poselenie Shhapovskoe,2
Poselenie Kievskij,2
Poselenie Klenovskoe,1
Poselenie Mihajlovo-Jarcevskoe,1
